Category,Origin Category,Clean Title,Detail,PDF File
형사,['[형사]'],보복의 목적으로 공판기일에 피해자의 지위에서 참석하기 위해 법원으로 가고 있던 피해자를 회칼로 잔혹하게 살해한 피고인에게 무기징역의 중형을 선고 고합,부산지방법원 선고 고합 고합 병합 고합 병합 특정범죄가중처벌등에관한법률위반 보복살인등 등 평소 피해자와의 사이에서 유튜브를 통한 상호 비방 방송 및 형사고소를 통해 강한 분노와 보복감정을 가지고 있다가 피고인에 대한 상해사건의 공판기일에 피해자의 지위에서 참석하기 위해 법원으로 가고 있던 피해자를 향하여 회칼로 등과 가슴 부분 등을 찔러 피해자에게 총 개의 자창과 절창을 가하여 다발성 대량실형사로 사망하게 한 피고인에게 무기징역의 중형을 선고한 사례,형사_1
형사,['[형사]'],지적장애가 있는 조카를 상습으로 폭행하고 무차별적으로 폭력을 행사하여 다발성 손상으로 사망하게 한 피고인 에게 징역 년을 위 상습특수상해 범행과 살인범행을 방조한 피고인 에게 징역 년의 중형을 선고,부산지방법원 선고 고합 상습특수상해 등 지적장애가 있는 조카에게 각종 집안일과 심부름을 시키면서 상습으로 폭행하거나 상해를 가하고 거기에 피해자가 건강상태가 좋지 않다는 사실을 잘 알면서도 주먹으로 복부를 수십 회 때리고 목검으로 피해자의 머리와 허벅지 등을 수심 회 내려치는 등 무차별적인 폭력을 행사하여 피해자를 다발성 손상으로 사망하게 한 피고인 에게 징역 년을 피고인 의 배우자로서 피고인 의 위 상습특수상해와 살인 범행을 방조한 피고인 에게 징역 년의 중형을 각 선고한 사례,형사_2
형사,['[형사]'],베트남에서 국내로 엑스터시 등을 수입하고 매도 또는 관리 소지한 베트남 국적의 피고인에게 징역 년의 중형을 선고,부산지방법원 선고 고합 특정범죄가중처벌등에관한법률위반 향정 등 성명불상자와 공모하여 베트남에서 엑스터시 케타민 등 마약류를 영양제통에 넣어 국제우편물로 발송하고 이를 국내에서 수령하는 방법으로 수입하고 이를 다른 사람들에게 매도하거나 관리 소지함으로써 시가 약 억 원에 달하는 마약류를 국내에 유통시킨 베트남 국적의 피고인에게 징역 년 추징금 원의 중형을 선고한 사례,형사_3
형사,['[형사]'],동업 해지통고의 법적 성질 해지통고 이후 동업 수익금 계좌 내 보관 중이던 돈이 타인 소유 재산에 해당하는지 등이 문제된 사건,대상판결 서울고등법원 선고 노 판결 제 형사부 사안 개요 피고인은 피해자와 동업으로 병원을 운영하던 중 피해자가 동업계약 해지통고를 하자 피고인이 병원의 수익금 계좌 내 보관 중이던 돈을 사용하고 운영하던 병원에서 의료장비를 반출함 최초 피고인은 병원의 의료장비를 반출하여 횡령하였다는 공소사실로 기소되었음 그 후 항소심에서 피고인이 병원 수익금 계좌의 돈을 인출 사용하였다는 공소사실 특정경제범죄가중처벌등에관한법률위반 횡령 이 추가되었고 합의부 관할 사건이 되어 지방법원 항소부에서 고등법원으로 이송됨 쟁점 피해자가 피고인에 대하여 한 해지통고의 법적 성질 조합탈퇴 의사표시 해지통고 이후 병원의 수익금 계좌 내 보관 중이던 돈과 병원의 의료장비가 피고인에 대한 관계에서 타인 소유의 재산에 해당하는지 여부 소극 해지통고를 조합 탈퇴가 아닌 조합 해산청구로 볼 경우 피고인에게 횡령의 범의 내지 불법영득의사가 인정되는지 여부 소극 판단 피해자의 해지통고 이후 피고인이 단독으로 병원을 계속 운영하면서 진료행위를 하였고 피고인과 피해자 사이에 체결된 동업 약정서의 내용도 계약 종료 후 병원을 계속 운영하는 사람이 병원의 자산을 소유하는 것을 전제하고 있으며 피해자도 피고인과의 민사소송에서 자신이 조합에서 탈퇴하였음을 전제로 정산금 청구를 한 것으로 볼 여지도 있으므로 이 사건 해지통고는 조합 탈퇴의 의사표시로 봄이 타당함 이 경우 피고인과 피해자의 인 조합으로 운영되던 병원의 자산은 해지통고가 피고인에게 도달한 이후부터는 피고인의 단독소유로 귀속됨 대법원 선고 다 판결 대법원 선고 다 판결 등 참조 해지통고를 해산청구로 보더라도 피고인이 단독으로 병원을 운영하면서 장비를 사용 유지 관리하고 있었고 병원 장비에 관한 채무를 단독으로 부담하며 변제해 왔으며 병원의 차임이 연체되어 임대차계약이 해지돼 원상회복 청구를 받은 상황에서 의료장비의 반출이 불가피한 상황이었는바 횡령의 범의나 불법영득의사가 있었다고 볼 수 없음 제 심판결을 파기하고 이 사건 해지통고 전에 피고인이 병원 수익금 계좌에서 임의로 돈을 인출한 부분을 제외한 나머지 부분 이유 무죄,형사_4
형사,['[형사]'],투자증권 소속 애널리스트가 자본시장법 제 조 제 항의 금융투자자 에 해당하는지 여부 등이 문제된 사건,대상판결 서울고등법원 선고 노 판결 제 형사부 사안 개요 투자증권 소속 애널리스트인 피고인이 특정 종목 주식을 매입하고 그 종목에 대한 조사분석자료를 작성 공표한 후 그 주식을 매도하여 부당이득을 취하였고 그 과정에서 타인의 유심칩을 제공받아 사용함 쟁점 피고인이 자본시장법 제 조 제 항의 금융투자자 에 해당하는지 여부 소극 피고인이 자본시장법 제 조 제 호의 벌칙규정의 적용을 받는 수범자인지 여부 소극 판단 자본시장법 제 조 제 항 금지규정 및 제 조 제 호 벌칙규정 는 적용대상자를 금융투자업자로 한정하고 있음 자본시장법 제 조 제 항은 금융투자업자를 금융투자업에 대하여 금융위원회의 인가를 받거나 금융위원회에 등록하여 이를 영위하는 자 라고 규정하고 제 조 제 항은 금융위원회의 인가 또는 등록을 받을 수 있는 자를 주식회사 또는 금융기관으로 한정하고 있으므로 자연인은 금융투자업자가 될 수 없음 법인은 사법상의 권리의무의 주체가 될 수 있으나 법률에 명문의 규정이 없는 한 범죄능력은 없음 법인의 업무는 법인을 대표하는 자연인인 대표기관의 대표행위에 의하여 실현될 수밖에 없으므로 대표기관이 범죄행위에 대한 형사책임을 지는 것이고 다만 양벌규정의 해석에 따라 대표기관이 아닌 행위자와 법률효과가 귀속되는 법인에 대하여 처벌할 수 있음 금지규정 및 벌칙규정의 수범자는 금융투자업자인 투자증권의 대표기관인 자연인을 의미한다고 보아야 하고 벌칙규정이 직접 업무를 집행한 행위자에 대해서까지 곧바로 적용된다고 보기는 어려움 자본시장법 제 조에 규정된 양벌규정의 취지는 금융투자업자 내지 그 대표자를 대신하여 실제로 업무를 집행하는 자임에도 불구하고 벌칙규정의 적용대상자로 규정되어 있지 아니하여 벌칙규정만으로는 처벌할 수 없는 위반행위자를 양벌규정에 의하여 처벌할 수 있도록 함으로써 벌칙규정의 실효성을 확보하는 데 있다고 보임 행위자인 피고인은 위 양벌규정에 의하여 벌칙규정의 적용대상이 된다고 보아야 함 벌칙규정만을 위반 근거로 한 주위적 공소사실에 대해서는 죄가 되지 않는다고 보아 무죄를 선고하고 양벌규정을 위반 근거로 한 예비적 공소사실에 대해서 유죄를 선고함,형사_5
형사,['[형사]'],주거취약계층 등을 대상으로 한 한국토지주택공사의 공공임대주택사업과 관련하여 주거취약계층에 해당하지 않음에도 허위의 서류를 제출해 주거지원대상자로 선정된 경우 공공주택특별법위반죄 및 사기죄 등 성립 여부에 대하여 판단한 사례,서울북부지방법원 선고 고단 주거취약계층에 해당하지 않음에도 브로커를 통해 허위의 서류를 제출하는 등의 방법으로 주거취약계층 등을 대상으로 하는 한국토지주택공사의 공공임대주택사업의 주거지원대상자로 선정된 사안에서 부정한 방법으로 공공임대주택을 임대받음과 동시에 공공임대주택 입주자 자격을 취득하여 전대차계약을 체결한 지위 라는 액수 미상의 재산상 이익을 편취하였다고 판단하여 주거지원대상자로 선정된 자들과 브로커에 대해 공공주택특별법위반죄 및 사기죄의 공동정범으로서의 죄책을 인정한 사례,형사_6
형사,['[형사]'],성매매업소로 이용된 건물 외 토지에 대한 몰수는 비례원칙에 반한다는 사례,피고인이 성매매에 제공되는 사실을 알면서 건물 일부를 제공한 사안에서 건물에 대한 몰수의 필요성은 인정되나 토지까지 몰수하는 것은 비례원칙에 반한다고 한 사례 대법원 상고기각판결로 확정,형사_7
형사,['[형사]'],시가 약 만 원 상당의 케타민을 베트남에서 국내로 수입하고 합성대마를 매매한 피고인에게 징역 년의 중형을 선고,부산지방법원 선고 고합 특정범죄가중처벌등에관한법률위반 향정 등 베트남에 있는 성명불상자와 공모하여 시가 약 만 원 상당의 향정신성의약품인 케타민 약 을 수입하고 합성대마 를 매매한 베트남 국적의 피고인에게 징역 년의 중형을 선고한 사례,형사_8
형사,['[형사]'],노인 일자리 사업 참여 노인 활동비 등 보조금을 목적 외로 유용하거나 장기요양급여비용을 편취한 노인복지시설 내 사회복지사 등 피고인들에게 징역 년 월 등 중한 형을 선고,부산지방법원 선고 고합 특정경제범죄가중처벌등에관한법률위반 횡령 등 노인복지시설의 운영비 및 보조금 등 관리업무를 담당하던 사회복지사 간호조무사 등 직원으로서 국가나 지방자치단체로부터 지급받은 보조금을 목적 외로 유용하거나 장기요양급여비용 등을 편취한 피고인들에게 징역 년 월 등 중한 형을 선고한 사례,형사_9
형사,['[형사]'],선거관리위원회에 신고 되지 않은 계좌를 이용하여 선거비용을 지출하고 회계책임자에 의하지 아니하고 미신고 계좌를 이용하여 정치자금을 지출한 구청장 후보자 및 그 회계책임자에게 각 벌금 만 원 등을 선고,부산지방법원 선고 고단 정치자금법위반 관할 선거관리위원회에 신고 되지 않은 계좌를 이용하여 선거비용 여 만 원을 지출한 구청장 후보자 및 그 회계책임자에게 당선무효형인 각 벌금 만 원씩을 선고하고 회계책임자에 의하지 아니하고 미신고 계좌를 이용하여 정치자금 만 원을 지출한 구청장 후보자에게 벌금 만 원을 선고한 사례,형사_10
