Category,Origin Category,Clean Title,Detail,PDF File
행정,['[행정]'],"근로자가 극심한 업무상 스트레스로 인해 무단결근 후 자살을 하게 된 경우, 업무상 재해보상 시의 평균임금 산정 사유 발생일은 근로자가 업무상 사유로 정상적인 인식능력이 뚜렷하게 낮아진 채 무단결근을 하기 시작한 날로 볼 것이지, 사망일로 볼 수 없다고 판단한 사례","[사안의 개요]
   ○ 망인은 계약직 버스회사 운전원으로 근무하다가 정규직으로 전환된 지 얼마 되지 않은 시점에 선행차량을 충돌하는 등 단기간 수차례의 업무상 사고를 경험함. 망인은 위 사고 이후 귀가하였다가 배우자인 원고에게 ‘사고처리로 너무 힘들다’는 취지의 메시지를 남기고 가출하여 출근도 하지 않은 채 연락이 두절되었고 며칠 뒤 스스로 목숨을 끊었음.
   ○ 피고의 업무상질병판정위원회는 망인의 업무상 스트레스가 사망의 원인으로 작용하였다고 인정하여 망인의 사망을 업무상 재해로 인정하였음.
   ○ 피고는 평균임금 산정 사유 발생일을 망인의 사망일로 보고, 망인이 가출한 날부터 사망 전날까지를 산정일 일부로 포함했는데, 위 기간에 망인이 무단결근했다는 이유로 지급임금을 0원으로 하여 평균임금을 산정하였음. 피고는 이와 같이 산정한 평균임금을 기초로 원고에게 지급할 유족급여 및 장의비를 계산하여 지급함.
   ○ 원고는 망인의 평균임금 산정 사유 발생일을 사망한 날이 아니라 업무상 스트레스로 인해 가출한 날로 보아야 된다는 등의 주장을 하며 피고를 상대로 평균임금정정 및 보험급여차액지급 신청을 하였으나, 피고는 이를 기각함.
  [판결요지]
   ○ 아래의 요소들을 고려하면, 근로자가 업무상의 사유로 인한 정신적 이상 상태에서 자살을 한 경우, 그 정신적 이상 상태 때문에 근로 제공을 하지 못하여 임금을 제대로 받지 못하였다면, 특별한 사정이 없는 한 사망의 결과가 발생한 날이 아닌 근로자의 정상적인 인식능력 등이 뚜렷하게 낮아지거나 근로자가 정신적 이상 상태에 빠진 시점을 평균임금 산정 사유가 발생한 날로 봄이 타당함.
    - 평균임금은 근로자의 생활임금을 사실대로 반영함으로써 근로자의 생활을 보장하고자 하는데 그 제도의 취지가 있음.
    - 근로기준법령이 재해보상의 경우 ‘사망의 원인이 되는 사고가 발생한 날’을 평균임금 산정 사유가 발생한 날로 규정하고 있는 것은, 업무상 사고 등이 발생하는 경우 아직 사망이나 부상의 결과가 발생하기 전이라 하더라도 사고로 인해 근로자의 근무능력, 여건, 환경 등에 변동이 생길 가능성이 있으므로 이로 인한 통상생활 임금의 왜곡이 발생하는 것을 방지하기 위한 것임.
    - 산재보험법령은 근로자의 자해행위에 따른 사망 등의 경우 원칙적으로 업무상 자해로 보지 않지만, 업무상의 사유가 상당한 스트레스 요인으로 작용하였고, 그 영향으로 근로자가 정상적인 인식능력이 뚜렷하게 낮아진 상태에서 자해행위를 한 경우 비록 사망 등의 직접적 원인이 자해행위라고 하더라도, 업무상 사고 또는 질병을 원인으로 하는 업무상 재해와 달리 볼 수 없다는 전제에서 예외를 인정하고 있음.
     ○ 망인은 정규직으로 전환된 지 얼마 되지 않은 시점에서 연속적으로 업무상 사고를 경험하였고, 그 처리과정에서 회사 측의 방침으로 인한 인사상 불이익에 대한 우려와 개인적 합의 시도에 따른 사고처리 비용에 대한 경제적 압박으로 인하여 극도의 업무상 스트레스를 받았음.
   ○ 이에 더하여 망인이 가출을 하면서 원고에게 남긴 메시지의 내용과 망인이 핸드폰을 두고 가출을 하여 그때부터 자해행위를 할 때까지 일체의 연락이 두절되었던 점 등을 고려하면, 망인은 위 가출 일시에 이미 극도의 업무상 스트레스를 원인으로 정상적인 인식능력이 뚜렷하게 낮아지고 정신적 이상 상태에서 빠져 있었고, 이와 같은 상태가 지속되어 결국 스스로 목숨을 끊은 것으로 보임.
   ○ 그렇다면 이 사건에서 망인의 평균임금 산정 사유가 발생한 날은 망인이 가출을 하여 무단결근을 하기 시작한 날로 봄이 타당함
   ○ 이와 다른 전제에서 한 피고의 평균임금정정불승인 및 보험급여차액부지급 처분은 위법하여 각 취소되어야 함.",행정_1
행정,"['[행정]', '[일반]']","학술지원사업의 경우 평가위원들의 세부사업명이나, 평가대상자의 평가점수 및 순위가 공개된다고 하더라도 평가업무의 공정한 수행에 현저한 지장을 초래할 것이라는 고도의 개연성이 인정되지 않는다고 본 정보공개거부처분취소 사건","[행정][일반] 학술지원사업의 경우 평가위원들의 세부사업명이나, 평가대상자의 평가점수 및 순위가 공개된다고 하더라도 평가업무의 공정한 수행에 현저한 지장을 초래할 것이라는 고도의 개연성이 인정되지 않는다고 본 정보공개거부처분취소 사건(2023구합77542)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_2
행정,"['[행정]', '[일반]']",'초청인 재정 능력 미흡 등'을 처분사유로 한 결혼이민 체류자격 사증발급 불허 처분이 적법하다고 판단한 판결,"[행정][일반] '초청인 재정 능력 미흡 등'을 처분사유로 한 결혼이민 체류자격 사증발급 불허 처분이 적법하다고 판단한 판결(2023구단6420)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_3
행정,"['[행정]', '[조세]']",간접외국납부세액에 관하여 익금산입 취소 외에 추가로 손금산입이 인정되지 않는다고 본 법인지방소득세 경정거부처분이 적법하다고 판단한 판결,"[행정][조세] 간접외국납부세액에 관하여 익금산입 취소 외에 추가로 손금산입이 인정되지 않는다고 본 법인지방소득세 경정거부처분이 적법하다고 판단한 판결(2023구단70575)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_4
행정,"['[행정]', '[산재]']","소방관이 임용 2달 차에 화재현장 정리작업 중 어깨 부위 상이를 입은 사건에서, 현장 정리작업 중 어깨 부위 회전, 신전 등의 자세에 비추어 공무 수행과 상이 사이의 상당인과관계를 인정한 사례","[행정][산재] 소방관이 임용 2달 차에 화재현장 정리작업 중 어깨 부위 상이를 입은 사건에서, 현장 정리작업 중 어깨 부위 회전, 신전 등의 자세에 비추어 공무 수행과 상이 사이의 상당인과관계를 인정한 사례(2023구단71356)




자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_5
행정,"['[행정]', '[산재]']","택시협동조합 소속 택시기사에 대하여, 조합원의 차량 할부금 부담, 자율적인 출퇴근 시간 및 연차제도, 자율적 차량 관리, 기본급의 부재 등을 이유로 위 택시기사는 산업재해보상보험법의 적용을 받는 근로자에 해당하지 않고 보험급여 지급대상이 될 수 없음을 이유로 원처분이 적법하다고 본 사례","[행정][산재] 택시협동조합 소속 택시기사에 대하여, 조합원의 차량 할부금 부담, 자율적인 출퇴근 시간 및 연차제도, 자율적 차량 관리, 기본급의 부재 등을 이유로 위 택시기사는 산업재해보상보험법의 적용을 받는 근로자에 해당하지 않고 보험급여 지급대상이 될 수 없음을 이유로 원처분이 적법하다고 본 사례(2024구단50271)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_6
행정,"['[행정]', '[일반]']","건설기계를 대여하면서 조종기사도 함께 제공받아 현장에서 작업하도록 한 것이 건설산업기본법에서 금지하는 재하도급이라면서 과징금이 부과된 사안에서, 위 건설기계로 하는 작업의 내용과 범위를 원고가 직접 정하고 그 작업지시를 하였다면 이는 인력을 포함한 건설기계의 대여이지, 공사의 재하도급이 아니라는 이유로 위 과징금을 취소한 사안","[행정][일반] 건설기계를 대여하면서 조종기사도 함께 제공받아 현장에서 작업하도록 한 것이 건설산업기본법에서 금지하는 재하도급이라면서 과징금이 부과된 사안에서, 위 건설기계로 하는 작업의 내용과 범위를 원고가 직접 정하고 그 작업지시를 하였다면 이는 인력을 포함한 건설기계의 대여이지, 공사의 재하도급이 아니라는 이유로 위 과징금을 취소한 사안(2024구단54693)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_7
행정,"['[행정]', '[일반]']","특정활동체류자격으로 주방장으로 근무하던 외국인이 근무처로 신고한 식당의 사용자와 합의로 퇴직하고 새로운 근무처를 구하고자 한 구직으로 체류자격변경허가신청에 대하여, 위 퇴직에 정당한 사유가 없다는 이유로 이를 불허한 것은 외국인의 직업선택의 자유를 과도하게 제한한 위법한 처분이라고 본 사안","[행정][일반] 특정활동(E-7)체류자격으로 주방장으로 근무하던 외국인이 근무처로 신고한 식당의 사용자와 합의로 퇴직하고 새로운 근무처를 구하고자 한 구직(D-10)으로 체류자격변경허가신청에 대하여, 위 퇴직에 정당한 사유가 없다는 이유로 이를 불허한 것은 외국인의 직업선택의 자유를 과도하게 제한한 위법한 처분이라고 본 사안(2024구단52925)




자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_8
행정,"['[행정]', '[일반]']","미국 캘리포니아주에서 실형을 선고받아 복역 중 국내로 이송된 원고가 국제수형자이송법 제20조 제1항에 따른 국내이송명령 변경 사유가 있다는 이유로 피고를 상대로 국내이송명령 변경에 관한 부작위 위법확인을 구한 사안에서, 원고에게 국내이송명령 변경을 구할 법규상 또는 조리상 신청권은 인정되나, 피고가 이미 원고의 국내이송명령 변경신청을 거부하였으므로 항고소송의 대상인 피고의 위법한 부작위가 있다고 볼 수 없다는 이유로 원고의 소를 각하한 사례","[행정][일반] 미국 캘리포니아주에서 실형을 선고받아 복역 중 국내로 이송된 원고가 국제수형자이송법 제20조 제1항에 따른 국내이송명령 변경 사유(외국으로부터의 감형 또는 자유형의 종류 또는 형기 변경 취지의 통지 존재)가 있다는 이유로 피고(법무부장관)를 상대로 국내이송명령 변경에 관한 부작위 위법확인을 구한 사안에서, 원고에게 국내이송명령 변경을 구할 법규상 또는 조리상 신청권은 인정되나, 피고가 이미 원고의 국내이송명령 변경신청을 거부하였으므로 항고소송의 대상인 피고의 위법한 부작위가 있다고 볼 수 없다는 이유로 원고의 소를 각하한 사례(2023구합60001)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.
 ",행정_9
행정,"['[행정]', '[일반]']","원고가 37개 부품 중 1개 품목, 33개 부품 중 2개 품목을 납품하지 못하였다는 사유로 입찰참가자격제한 처분을 받은 사안에서, 채무불이행의 정도 및 경위 등에 비추어 원고가 계약의 적정한 이행을 해할 염려가 있거나 기타 입찰에 참가시키는 것이 부적법한 정도에 이르렀다고 보기 부족하여 처분사유가 인정되지 않는다고 판단한 사건","[행정][일반] 원고가 37개 부품 중 1개 품목, 33개 부품 중 2개 품목을 납품하지 못하였다는 사유로 입찰참가자격제한 처분을 받은 사안에서, 채무불이행의 정도 및 경위 등에 비추어 원고가 계약의 적정한 이행을 해할 염려가 있거나 기타 입찰에 참가시키는 것이 부적법한 정도에 이르렀다고 보기 부족하여 처분사유가 인정되지 않는다고 판단한 사건(2024구합57736)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_10
행정,"['[행정]', '[조세]']",주택재건축정비사업의 정비구역 중 도로와 공원으로 지정된 토지의 구 지방세법 제112조 제3항에 따른 재산세 도시지역분 비과세대상 여부 및 구 지방세특례제한법 제84조 제2항에 따른 재산세 감면대상 여부가 문제된 사안,"[행정][조세] 주택재건축정비사업의 정비구역 중 도로와 공원으로 지정된 토지의 구 지방세법 제112조 제3항에 따른 재산세 도시지역분 비과세대상 여부 및 구 지방세특례제한법 제84조 제2항에 따른 재산세 감면대상 여부가 문제된 사안(23구단71011)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_11
행정,"['[행정]', '[산재]']","근로자에게 심폐기능장해가 있다는 폐기능검사일부터 소멸시효기간이 지나 장해급여가 청구되었다는 이유를 이를 지급하지 않은 사안에서, 위 폐기능검사는 신뢰성이 없어 그 때 장해가 확인되었다고 할 수 없으므로 이를 장해급여청구권의 소멸시효 기산점으로 삼을 수 없다고 보아 위 부지급 처분을 취소한 사안","[행정][산재] 근로자에게 심폐기능장해가 있다는 폐기능검사일부터 소멸시효기간이 지나 장해급여가 청구되었다는 이유를 이를 지급하지 않은 사안에서, 위 폐기능검사는 신뢰성이 없어 그 때 장해가 확인되었다고 할 수 없으므로 이를 장해급여청구권의 소멸시효 기산점으로 삼을 수 없다고 보아 위 부지급 처분을 취소한 사안(2023구단70995)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_12
행정,"['[행정]', '[산재]']","육군부사관이 전투력 측정을 받기 위하여 한 턱걸이 도중 입은 부상은, 국가의 수호·안전보장 또는 국민의 생명·재산 보호와 직접적인 관련이 있는 교육훈련 중 입은 상이로서 국가유공자의 요건에 해당한다고 본 사안","[행정][산재] 육군부사관이 전투력 측정을 받기 위하여 한 턱걸이 도중 입은 부상은, 국가의 수호·안전보장 또는 국민의 생명·재산 보호와 직접적인 관련이 있는 교육훈련 중 입은 상이로서 국가유공자의 요건에 해당한다고 본 사안(2023구단76528)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_13
행정,"['[행정]', '[노동]']","노동조합의 선거관리규정에 입후보 자격을 신설하는 내용의 원고 중앙위원회 결의가 노동관계법령을 위반한 것이라고 보아, 해당 결의에 대한 시정명령이 위법하지 않다고 본 사례","[행정][노동] 노동조합의 선거관리규정에 입후보 자격을 신설하는 내용의 원고 중앙위원회 결의가 노동관계법령을 위반한 것이라고 보아, 해당 결의에 대한 시정명령이 위법하지 않다고 본 사례(2023구합75355)
 


자세한 내용은 첨부 파일의 내용을 참고하시기 바랍니다.",행정_14
